t,x,y,z
100800.00000000000,-6525854.864810664,-25279563.56428891,-4785393.701218197
100830.00000000000,-6520500.20051671,-25297808.46184047,-4691656.3140830165
100860.00000000000,-6515130.71946419,-25315712.52204313,-4597828.895166836
100890.00000000000,-6509744.99770764,-25333275.51810946,-4503913.238280253
100920.00000000000,-6504341.610588452,-25350497.23436443,-4409911.13920468
100950.00000000000,-6498919.132804307,-25367377.466253787,-4315824.395658198
100980.00000000000,-6493476.138478622,-25383916.020351898,-4221654.807261287
101010.00000000000,-6488011.201230061,-25400112.714369178,-4127404.1755025573
101040.00000000000,-6482522.894242074,-25415967.37715906,-4033074.3037043414
101070.00000000000,-6477009.790332528,-25431479.84872443,-3938666.9969883543
101100.00000000000,-6471470.462023305,-25446649.98022371,-3844184.0622411533
101130.00000000000,-6465903.481610004,-25461477.633976355,-3749627.308079658
101160.00000000000,-6460307.421231629,-25475962.683468,-3654998.5448165303
101190.00000000000,-6454680.852940351,-25490105.01335501,-3560299.58442559
101220.00000000000,-6449022.348771246,-25503904.51946873,-3465532.240507065
101250.00000000000,-6443330.480812107,-25517361.10881909,-3370698.3282528957
101280.00000000000,-6437603.821273256,-25530474.699597888,-3275799.6644119187
101310.00000000000,-6431840.942557352,-25543245.221181504,-3180838.0672550118
101340.00000000000,-6426040.417329278,-25555672.614133216,-3085815.3565402273
101370.00000000000,-6420200.818585968,-25567756.830205012,-2990733.353477812
101400.00000000000,-6414320.719726288,-25579497.832338937,-2895593.8806952205
101430.00000000000,-6408398.694620908,-25590895.59466797,-2800398.7622020724
101460.00000000000,-6402433.317682182,-25601950.10251647,-2705149.8233550447
101490.00000000000,-6396423.1639340315,-25612661.352400064,-2609848.890822746
101520.00000000000,-6390366.809081796,-25623029.352025177,-2514497.792550487
101550.00000000000,-6384262.82958214,-25633054.120288018,-2419098.3577251034
101580.00000000000,-6378109.802712882,-25642735.687273104,-2323652.4167396226
101610.00000000000,-6371906.306642856,-25652074.09425134,-2228161.8011579537
101640.00000000000,-6365650.920501739,-25661069.39367762,-2132628.343679517
101670.00000000000,-6359342.224449855,-25669721.649187945,-2037053.8781038153
101700.00000000000,-6352978.799748032,-25678030.93559607,-1941440.2392949932
101730.00000000000,-6346559.228827126,-25685997.33888974,-1845789.2631463327
101760.00000000000,-6340082.095358267,-25693620.956226323,-1750102.7865446957
101790.00000000000,-6333545.984321877,-25700901.895928152,-1654382.64733496
101820.00000000000,-6326949.48207808,-25707840.277477197,-1558630.6842843804
101850.00000000000,-6320291.176435636,-25714436.23150949,-1462848.7370469177
101880.00000000000,-6313569.656722076,-25720689.89980887,-1367038.6461275828
101910.00000000000,-6306783.513852982,-25726601.435300376,-1271202.2528466338
101940.00000000000,-6299931.340401564,-25732171.00204318,-1175341.3993038416
101970.00000000000,-6293011.730668123,-25737398.775222953,-1079457.9283426818
102000.00000000000,-6286023.28074942,-25742284.941143878,-983553.6835144382
102030.00000000000,-6278964.588608053,-25746829.697220106,-887630.5090423661
102060.00000000000,-6271834.254141741,-25751033.251966774,-791690.2497857665
102090.00000000000,-6264630.8792525465,-25754895.8249906,-695734.7512040137
102120.00000000000,-6257353.067916016,-25758417.646979917,-599765.859320574
102150.00000000000,-6249999.4262503125,-25761598.959694304,-503785.4206870187
102180.00000000000,-6242568.562585189,-25764440.015953727,-407795.28234692453
102210.00000000000,-6235059.087530982,-25766941.079627227,-311797.29179985094
102240.00000000000,-6227469.614047432,-25769102.425621137,-215793.29696517994
102270.00000000000,-6219798.757512515,-25770924.33986679,-119785.1461460191
102300.00000000000,-6212045.135791114,-25772407.11930784,-23774.68799301218
102330.00000000000,-6204207.36930363,-25773551.07188704,72236.22853187456
102360.00000000000,-6196284.081094551,-25774356.516532596,168245.7541915087
102390.00000000000,-6188273.896900842,-25774823.78314406,264252.03950990346
102420.00000000000,-6180175.445220287,-25774953.212577704,360253.2348084658
102450.00000000000,-6171987.357379747,-25774745.15663152,456247.4902422905
102480.00000000000,-6163708.267603281,-25774199.978029646,552232.9558364735
102510.00000000000,-6155336.813080153,-25773318.050406452,648207.7815225013
102540.00000000000,-6146871.634032793,-25772099.75829003,744170.1171745524
102570.00000000000,-6138311.373784576,-25770545.497085348,840118.1126459292
102600.00000000000,-6129654.678827516,-25768655.673056833,936049.9178054588
102630.00000000000,-6120900.198889851,-25766430.703310568,1031963.6825739165
102660.00000000000,-6112046.587003496,-25763871.015775993,1127857.556960467
102690.00000000000,-6103092.499571363,-25760977.049187176,1223729.6910991475
102720.00000000000,-6094036.596434559,-25757749.253063556,1319578.2352853608
102750.00000000000,-6084877.540939476,-25754188.087690327,1415401.3400123366
102780.00000000000,-6075614.000004723,-25750294.024098273,1511197.1560076869
102810.00000000000,-6066244.6441879105,-25746067.544043195,1606963.8342699215
102840.00000000000,-6056768.147752336,-25741509.139984872,1702699.5261050025
102870.00000000000,-6047183.188733484,-25736619.315065548,1798402.3831629078
102900.00000000000,-6037488.449005419,-25731398.583088018,1894070.5574741904
102930.00000000000,-6027682.614346998,-25725847.468493175,1989702.2014865836
102960.00000000000,-6017764.374507945,-25719966.506337162,2085295.4681015864
102990.00000000000,-6007732.423274776,-25713756.24226807,2180848.5107110725
103020.00000000000,-5997585.458536552,-25707217.23250217,2276359.483233922
103050.00000000000,-5987322.182350476,-25700350.04379967,2371826.5401526457
103080.00000000000,-5976941.301007364,-25693155.253440086,2467247.836549982
103110.00000000000,-5966441.525096856,-25685633.449197102,2562621.5281456127
103140.00000000000,-5955821.569572577,-25677785.22931302,2657945.7713327305
103170.00000000000,-5945080.153817004,-25669611.202472713,2753218.72321479
103200.00000000000,-5934216.001706267,-25661111.987777196,2848438.5416420675
103230.00000000000,-5923227.8416747,-25652288.214716744,2943603.3852483938
103260.00000000000,-5912114.406779243,-25643140.523143485,3038711.4134877874
103290.00000000000,-5900874.434763615,-25633669.563243657,3133760.786671169
103320.00000000000,-5889506.668122387,-25623875.995509356,3228749.6660029567
103350.00000000000,-5878009.854164749,-25613760.49070986,3323676.213617838
103380.00000000000,-5866382.745078194,-25603323.72986251,3418538.592617358
103410.00000000000,-5854624.097991975,-25592566.40420316,3513334.9671066324
103440.00000000000,-5842732.675040115,-25581489.215156246,3608063.502231026
103470.00000000000,-5830707.243424956,-25570092.87430421,3702722.3642127966
103500.00000000000,-5818546.575479297,-25558378.103356812,3797309.7203877717
103530.00000000000,-5806249.448729744,-25546345.634119663,3891823.7392420103
103560.00000000000,-5793814.645958437,-25533996.20846269,3986262.590448478
103590.00000000000,-5781240.955265751,-25521330.578287784,4080624.4449036615
103620.00000000000,-5768527.17013205,-25508349.505496323,4174907.4747642437
103650.00000000000,-5755672.089479478,-25495053.761956107,4269109.853483725
103680.00000000000,-5742674.517733511,-25481444.129467938,4363229.755849063
103710.00000000000,-5729533.264884248,-25467521.399731718,4457265.358017311
103740.00000000000,-5716247.146547535,-25453286.374312166,4551214.837552155
103770.00000000000,-5702814.984025763,-25438739.86460408,4645076.373460608
103800.00000000000,-5689235.604368506,-25423882.691797223,4738848.146229565
103830.00000000000,-5675507.840432918,-25408715.68684071,4832528.337862342
103860.00000000000,-5661630.53094385,-25393239.690407064,4926115.131915283
103890.00000000000,-5647602.5205537565,-25377455.552855786,5019606.713534301
103920.00000000000,-5633422.6599023435,-25361364.134196553,5113001.269491401
103950.00000000000,-5619089.805675982,-25344966.30405198,5206296.988221202
103980.00000000000,-5604602.820666834,-25328262.941619962,5299492.059857462
104010.00000000000,-5589960.573831776,-25311254.935635604,5392584.676269527
104040.00000000000,-5575161.940351032,-25293943.18433278,5485573.031098829
104070.00000000000,-5560205.801686561,-25276328.595405266,5578455.319795313
104100.00000000000,-5545091.045640156,-25258412.085967377,5671229.739653885
104130.00000000000,-5529816.566411332,-25240194.58251438,5763894.489850796
104160.00000000000,-5514381.264654882,-25221677.020882305,5856447.771480055
104190.00000000000,-5498784.047538212,-25202860.346207518,5948887.787589765
104220.00000000000,-5483023.828798376,-25183745.51288577,6041212.743218496
104250.00000000000,-5467099.528798863,-25164333.484530956,6133420.845431554
104280.00000000000,-5451010.074586045,-25144625.23393336,6225510.303357349
104310.00000000000,-5434754.399945436,-25124621.74301761,6317479.328223569
104340.00000000000,-5418331.445457587,-25104324.00280018,6409326.133393482
104370.00000000000,-5401740.158553721,-25083733.013346527,6501048.934402143
104400.00000000000,-5384979.493571112,-25062849.783727802,6592645.948992534
104430.00000000000,-5368048.299226318,-25041675.31935613,6684115.4866389055
104460.00000000000,-5350945.769342084,-25020210.67313266,6775455.590542374
104490.00000000000,-5333670.76642442,-24998456.86754679,6866664.574838159
104520.00000000000,-5316222.272982317,-24976414.9472518,6957740.666462756
104550.00000000000,-5298599.278703123,-24954085.965684593,7048682.094741044
104580.00000000000,-5280800.780506023,-24931470.985020116,7139487.0914223185
104610.00000000000,-5262825.782595484,-24908571.076125395,7230153.890716255
104640.00000000000,-5244673.296513916,-24885387.31851322,7320680.729328816
104670.00000000000,-5226342.341194512,-24861920.800295494,7411065.8464981355
104700.00000000000,-5207831.943013477,-24838172.61813614,7501307.484030417
104730.00000000000,-5189141.135842059,-24814143.877203673,7591403.886335693
104760.00000000000,-5170268.961098223,-24789835.69112339,7681353.300463614
104790.00000000000,-5151214.467797947,-24765249.181929257,7771153.976139229
104820.00000000000,-5131976.712606452,-24740385.48001531,7860804.165798627
104850.00000000000,-5112554.75988862,-24715245.72408683,7950302.124624614
104880.00000000000,-5092947.68175957,-24689831.06111109,8039646.110582352
104910.00000000000,-5073154.5581346415,-24664142.64626771,8128834.384454882
104940.00000000000,-5053174.4767791135,-24638181.64289875,8217865.20987868
104970.00000000000,-5033006.533357554,-24611949.222458392,8306736.853379157
105000.00000000000,-5012649.8314828575,-24585446.56446227,8395447.58440604
105030.00000000000,-4992103.4827650525,-24558674.856436428,8483995.675368825
105060.00000000000,-4971366.606859423,-24531635.293866057,8572379.40167209
105090.00000000000,-4950438.331514709,-24504329.08014372,8660597.041750772
105120.00000000000,-4929317.792620635,-24476757.42651734,8748646.877105469
105150.00000000000,-4908004.134255307,-24448921.55203784,8836527.19233758
105180.00000000000,-4886496.508732106,-24420822.683506392,8924236.275184486
105210.00000000000,-4864794.0766462395,-24392462.055421412,9011772.416554635
105240.00000000000,-4842896.006921181,-24363840.90992513,9099133.910562601
105270.00000000000,-4820801.476854266,-24334960.496749923,9186319.05456402
105300.00000000000,-4798509.672162387,-24305822.073164266,9273326.14919061
105330.00000000000,-4776019.787027091,-24276426.90391835,9360153.498384982
105360.00000000000,-4753331.024139383,-24246776.261189386,9446799.409435494
105390.00000000000,-4730442.59474413,-24216871.42452666,9533262.193011021
105420.00000000000,-4707353.718684057,-24186713.680796143,9619540.16319566
105450.00000000000,-4684063.6244436,-24156304.324124843,9705631.637523385
105480.00000000000,-4660571.549191946,-24125644.655844912,9791534.93701266
105510.00000000000,-4636876.73882613,-24094735.984437343,9877248.386200914
105540.00000000000,-4612978.448013505,-24063579.625475373,9962770.313179111
105570.00000000000,-4588875.9402339365,-24032176.901567634,10048099.049626064
105600.00000000000,-4564568.487821523,-24000529.14230099,10133232.930842848
105630.00000000000,-4540055.372006146,-23968637.684182957,10218170.295787064
105660.00000000000,-4515335.882954231,-23936503.87058404,10302909.487107059
105690.00000000000,-4490409.319809534,-23904129.051679578,10387448.851176089
105720.00000000000,-4465274.990733298,-23871514.584391385,10471786.73812641
105750.00000000000,-4439932.212944113,-23838661.83232908,10555921.5018833
105780.00000000000,-4414380.31275734,-23805572.165731166,10639851.500199014
105810.00000000000,-4388618.625624122,-23772246.961405735,10723575.09468668
105840.00000000000,-4362646.4961700225,-23738687.602671012,10807090.650854105
105870.00000000000,-4336463.278233388,-23704895.479295496,10890396.53813754
105900.00000000000,-4310068.334902958,-23670871.98743792,10973491.129935352
105930.00000000000,-4283461.038555453,-23636618.529586844,11056372.803641608
105960.00000000000,-4256640.770892536,-23602136.514500115,11139039.940679666
105990.00000000000,-4229606.922977467,-23567427.357143875,11221490.926535556
106020.00000000000,-4202358.8952712165,-23532492.478631448,11303724.150791446
106050.00000000000,-4174896.0976684494,-23497333.306161907,11385738.007158898
106080.00000000000,-4147217.94953264,-23461951.272958346,11467530.893512124
106110.00000000000,-4119323.87973122,-23426347.818205994,11549101.211921128
106140.00000000000,-4091213.3266700525,-23390524.386989936,11630447.368684815
106170.00000000000,-4062885.7383275703,-23354482.43023271,11711567.774363982
106200.00000000000,-4034340.5722884787,-23318223.404631574,11792460.843814217
106230.00000000000,-4005577.2957769968,-23281748.772595525,11873124.996218774
106260.00000000000,-3976595.385689865,-23245060.00218212,11953558.655121317
106290.00000000000,-3947394.3286285438,-23208158.567034043,12033760.24845861
106320.00000000000,-3917973.620931387,-23171045.94631538,12113728.20859311
106350.00000000000,-3888332.76870515,-23133723.624647718,12193460.972345456
106380.00000000000,-3858471.2878561513,-23096193.092045985,12272956.981026968
106410.00000000000,-3828388.704120986,-23058455.843854055,12352214.68047191
106440.00000000000,-3798084.5530967526,-23020513.38068016,12431232.521069795
106470.00000000000,-3767558.380271063,-22982367.20833198,12510008.957797557
106500.00000000000,-3736809.7410512,-22944018.837751664,12588542.450251617
106530.00000000000,-3705838.2007932533,-22905469.784950487,12666831.462679889
106560.00000000000,-3674643.334830608,-22866721.570943367,12744874.4640137
106590.00000000000,-3643224.728502009,-22827775.721683152,12822669.92789958
106620.00000000000,-3611581.9771792423,-22788633.76799471,12900216.33273101
106650.00000000000,-3579714.686294267,-22749297.24550876,12977512.161680056
106680.00000000000,-3547622.471366127,-22709767.694595546,13054555.902728895
106710.00000000000,-3515304.9580270434,-22670046.660298333,13131346.048701288
106740.00000000000,-3482761.782048406,-22630135.69226663,13207881.097293923
106770.00000000000,-3449992.589366164,-22590036.344689265,13284159.551107658
106800.00000000000,-3416997.036105776,-22549750.176227253,13360179.91767873
106830.00000000000,-3383774.7886067117,-22509278.7499465,13435940.709509792
106860.00000000000,-3350325.523446491,-22468623.633250292,13511440.444100887
106890.00000000000,-3316648.9274644013,-22427786.397811558,13586677.643980332
106920.00000000000,-3282744.697784433,-22386768.619505078,13661650.836735498
106950.00000000000,-3248612.541838141,-22345571.878339406,13736358.555043446
106980.00000000000,-3214252.1773867756,-22304197.758388624,13810799.336701576
107010.00000000000,-3179663.3325431077,-22262647.847723976,13884971.724658031
107040.00000000000,-3144845.7457927307,-22220923.738345314,13958874.2670421
107070.00000000000,-3109799.1660148297,-22179027.02611234,14032505.517194496
107100.00000000000,-3074523.3525027586,-22136959.310675733,14105864.033697514
107130.00000000000,-3039018.07498373,-22094722.19540812,14178948.380405076
107160.00000000000,-3003283.1136384057,-22052317.28733483,14251757.126472715
107190.00000000000,-2967318.259119859,-22009746.197064586,14324288.84638743
107220.00000000000,-2931123.3125721104,-21967010.53871996,14396542.119997388
107250.00000000000,-2894698.0856481213,-21924111.929867722,14468515.532541618
107280.00000000000,-2858042.400527564,-21881051.991449058,14540207.67467951
107310.00000000000,-2821156.0899336766,-21837832.34770963,14611617.142520247
107340.00000000000,-2784038.997150112,-21794454.62612948,14682742.537652086
107370.00000000000,-2746690.97603702,-21750920.457352858,14753582.467171622
107400.00000000000,-2709111.891046783,-21707231.475117825,14824135.54371282
107430.00000000000,-2671301.617239264,-21663389.316185858,14894400.385476029
107460.00000000000,-2633260.04029651,-21619395.620271184,14964375.616256824
107490.00000000000,-2594987.0565370526,-21575252.029970113,15034059.865474788
107520.00000000000,-2556482.57292985,-21530960.190690182,15103451.768202111
107550.00000000000,-2517746.5071073547,-21486521.75057923,15172549.965192169
107580.00000000000,-2478778.78737857,-21441938.36045431,15241353.102907874
107610.00000000000,-2439579.3527413514,-21397211.673730552,15309859.833550017
107640.00000000000,-2400148.1528943293,-21352343.346349858,15378068.815085405
107670.00000000000,-2360485.14824827,-21307335.036709554,15445978.711274952
107700.00000000000,-2320590.309937166,-21262188.40559088,15513588.191701593
107730.00000000000,-2280463.619828487,-21216905.11608748,15580895.93179812
107760.00000000000,-2240105.070533294,-21171486.833533682,15647900.612874871
107790.00000000000,-2199514.665415678,-21125935.225432765,15714600.922147335
107820.00000000000,-2158692.418601826,-21080251.961385146,15780995.552763578
107850.00000000000,-2117638.354988482,-21034438.713016428,15847083.203831607
107880.00000000000,-2076352.5102510154,-20988497.1539054,15912862.580446566
107910.00000000000,-2034834.9308511205,-20942428.959512,15978332.393717831
107940.00000000000,-1993085.6740436293,-20896235.807105124,16043491.360796008
107970.00000000000,-1951104.8078833316,-20849919.375690423,16108338.204899715
108000.00000000000,-1908892.4112309627,-20803481.345938064,16172871.655342374
108030.00000000000,-1866448.5737589076,-20756923.400110282,16237090.447558722
108060.00000000000,-1823773.395956289,-20710247.221989084,16300993.323131328
108090.00000000000,-1780866.989133587,-20663454.496803723,16364579.029816931
108120.00000000000,-1737729.475426985,-20616546.911158174,16427846.321572611
108150.00000000000,-1694360.9878017828,-20569526.152958643,16490793.95858192
108180.00000000000,-1650761.670055773,-20522393.91134086,16553420.707280774
108210.00000000000,-1606931.6768218968,-20475151.876597498,16615725.340383317
108240.00000000000,-1562871.1735704467,-20427801.74010543,16677706.636907604
108270.00000000000,-1518580.3366108183,-20380345.194253042,16739363.382201118
108300.00000000000,-1474059.3530927077,-20332783.932367433,16800694.367966264
108330.00000000000,-1429308.4210070018,-20285119.648641635,16861698.392285615
108360.00000000000,-1384327.749185849,-20237354.0380618,16922374.259647056
108390.00000000000,-1339117.5573025402,-20189488.79633434,16982720.780968864
108420.00000000000,-1293678.075870812,-20141525.619813092,17042736.773624554
108450.00000000000,-1248009.546243595,-20093466.205426395,17102421.06146764
108480.00000000000,-1202112.2206113748,-20045312.25060425,17161772.474856272
108510.00000000000,-1155986.3619999476,-19997065.453205377,17220789.8506777
108540.00000000000,-1109632.244267879,-19948727.5114443,17279472.032372613
108570.00000000000,-1063050.1521032006,-19900300.123818494,17337817.86995938
108600.00000000000,-1016240.38101984,-19851784.9890354,17395826.220058076
108630.00000000000,-969203.2373534944,-19803183.80593955,17453495.945914425
108660.00000000000,-921939.0382569954,-19754498.27343969,17510825.91742361
108690.00000000000,-874448.1116951965,-19705730.090435836,17567815.011153884
108720.00000000000,-826730.7964393571,-19656880.955746427,17624462.110370107
108750.00000000000,-778787.4420611802,-19607952.568035465,17680766.105057094
108780.00000000000,-730618.4089260492,-19558946.625739656,17736725.891942855
108810.00000000000,-682224.0681860875,-19509864.82699562,17792340.374521647
108840.00000000000,-633604.8017725851,-19460708.869567055,17847608.463076938
108870.00000000000,-584761.0023879725,-19411480.45077204,17902529.074704204
108900.00000000000,-535693.0734972376,-19362181.267410234,17957101.133333534
108930.00000000000,-486401.4293190874,-19312813.01569024,18011323.56975219
108960.00000000000,-436886.49481623434,-19263377.39115694,18065195.321626905
108990.00000000000,-387148.7056855336,-19213876.08861889,18118715.333526168
109020.00000000000,-337188.50834751874,-19164310.80207572,18171882.5569422
109050.00000000000,-287006.35993542336,-19114683.2246457,18224695.95031293
109080.00000000000,-236602.72828375362,-19064995.04849322,18277154.479043767
109110.00000000000,-185978.09191637114,-19015247.964756407,18329257.115529172
109140.00000000000,-135132.94003405236,-18965443.6634748,18381002.839174163
109170.00000000000,-84067.77250173129,-18915583.833517052,18432390.636415645
109200.00000000000,-32783.099834932014,-18865670.162508737,18483419.50074353
109230.00000000000,18720.556813955307,-18815704.3367602,18534088.432721823
109260.00000000000,70442.66567002423,-18765688.041194487,18584396.440009434
109290.00000000000,122382.68435068987,-18715622.959275376,18634342.537380934
109320.00000000000,174540.05988100544,-18665510.772935428,18683925.746747077
109350.00000000000,226914.22870932333,-18615353.16250421,18733145.09717526
109380.00000000000,279504.6167237107,-18565151.80663651,18781999.624909725
109410.00000000000,332310.63926861994,-18514908.382240698,18830488.373391733
109440.00000000000,385331.70116204955,-18464624.564407192,18878610.393279426
109470.00000000000,438567.196713293,-18414302.026336968,18926364.742467694
109500.00000000000,492016.50974108465,-18363942.439270206,18973750.486107774
109530.00000000000,545679.0135922935,-18313547.472415034,19020766.696626745
109560.00000000000,599554.0711608585,-18263118.792876393,19067412.45374685
109590.00000000000,653641.0349076428,-18212658.065584935,19113686.844504658
109620.00000000000,707939.2468803283,-18162166.953226168,19159588.963270098
109650.00000000000,762448.0387339778,-18111647.116169594,19205117.91176527
109680.00000000000,817166.7317520659,-18061100.212398015,19250272.799083192
109710.00000000000,872094.6368679609,-18010527.897436973,19295052.741706293
109740.00000000000,927231.0546868853,-17959931.824284308,19339456.863524813
109770.00000000000,982575.2755082119,-17909313.643339813,19383484.295854993
109800.00000000000,1038126.5793485474,-17858675.002335075,19427134.177457176
109830.00000000000,1093884.2359649679,-17808017.54626341,19470405.654553648
109860.00000000000,1149847.5048788432,-17757342.91730995,19513297.880846415
109890.00000000000,1206015.6354001574,-17706652.754781865,19555810.01753475
109920.00000000000,1262387.866652188,-17655948.69503875,19597941.23333262
109950.00000000000,1318963.4275968364,-17605232.371423148,19639690.70448591
109980.00000000000,1375741.5370601304,-17554505.4141912,19681057.61478954
110010.00000000000,1432721.40375851,-17503769.450443514,19722041.15560436
110040.00000000000,1489902.2263253639,-17453026.104056098,19762640.525873914
110070.00000000000,1547283.1933380608,-17402276.99561155,19802854.93214103
110100.00000000000,1604863.4833454918,-17351523.742330343,19842683.588564273
110130.00000000000,1662642.2648959812,-17300767.9580023,19882125.71693416
110160.00000000000,1720618.6965657948,-17250011.252918266,19921180.546689317
110190.00000000000,1778791.9269878604,-17199255.233801905,19959847.314932343
110220.00000000000,1837161.0948812654,-17148501.503741696,19998125.266445648
110250.00000000000,1895725.3290809197,-17097751.662123144,20036013.653706994
110280.00000000000,1954483.748567815,-17047007.30456108,20073511.73690495
